File Number,Date of Report,Crime Date Time,Crime,Reporting Area,Neighborhood,Location,reporting_area_group
2016-07546,2016-09-16 20:03:00,2016-09-16 20:03:00,Prostitution,1111,North Cambridge,"2500 MASSACHUSETTS AVE, Cambridge, MA",11
2015-06153,2015-08-16 17:46:00,2015-08-16 17:45:00,Shoplifting,1301,Strawberry Hill,"700 Mount Auburn St, Cambridge, MA",13
2015-05208,2015-07-15 23:29:00,2015-07-15 23:29:00,Admin Error,1002,West Cambridge,"CHURCH ST & Church St, Cambridge, MA",10
2016-00026,2016-01-03 00:46:00,2016-01-03 00:45:00,Hit and Run,204,MIT,"AMHERST ST & MASSACHUSETTS AVE, Cambridge, MA",2
2009-09072,2009-12-04 23:09:00,2009-12-04 23:09:00,Street Robbery,912,Peabody,"Sherman St & Danehy Park, Cambridge, MA",9
2020-05336,2020-08-17 17:32:00,2020-08-17 17:31:00,Trespassing,409,Area 4,"200 NORFOLK ST, Cambridge, MA",4
2021-05545,2021-08-04 13:34:00,2021-08-04 13:00:00,Simple Assault,701,Riverside,"700 MASSACHUSETTS AVE, Cambridge, MA",7
2019-03414,2019-05-22 13:32:00,2019-05-22 13:31:00,Hit and Run,901,Peabody,"CAMBRIDGE ST & MASSACHUSETTS AVE, Cambridge, MA",9
2015-08572,2015-11-14 02:33:00,2015-11-14 02:32:00,OUI,602,Mid-Cambridge,"BIGELOW ST & MASSACHUSETTS AVE, Cambridge, MA",6
2013-01110,2013-02-15 18:03:00,2013-02-15 18:02:00,Accident,1004,West Cambridge,"0 GARDEN ST, Cambridge, MA",10
2021-02265,2021-04-07 13:37:00,2021-04-07 13:37:00,Accident,504,Cambridgeport,"GREEN ST & PEARL ST, Cambridge, MA",5
2012-00669,2012-01-26 13:35:00,2012-01-25 19:48:00,Larceny (Misc),605,Mid-Cambridge,"1600 CAMBRIDGE ST, Cambridge, MA",6
2013-06498,2013-08-22 13:41:00,2013-08-22 13:41:00,Warrant Arrest,708,Riverside,"1300 MASSACHUSETTS AVE, Cambridge, MA",7
2021-00114,2021-01-06 10:51:00,2020-09-15 12:00:00,Missing Person,701,Riverside,"800 MASSACHUSETTS AVE, Cambridge, MA",7
2018-01972,2018-03-30 22:27:00,2018-03-30 22:26:00,Aggravated Assault,1303,Strawberry Hill,"700 HURON AVE, Cambridge, MA",13
2013-01690,2013-03-10 03:00:00,2013-03-10 03:00:00,Simple Assault,708,Riverside,"1300 Massachusetts Ave, Cambridge, MA",7
2011-06723,2011-08-31 10:44:00,2011-08-16 00:00:00,Forgery,105,East Cambridge,"200 GORE ST, Cambridge, MA",1
2018-05091,2018-07-25 20:29:00,2018-07-25 20:28:00,Shoplifting,1106,North Cambridge,,11
2012-05427,2012-07-19 08:16:00,2012-07-19 08:15:00,Aggravated Assault,611,Mid-Cambridge,"MASSACHUSETTS AVE & Garden St, Cambridge, MA",6
2016-02402,2016-04-12 08:45:00,2016-04-12 08:44:00,Suspicious Package,708,Riverside,"LINDEN ST & Mount Auburn St, Cambridge, MA",7
2023-02838,2023-04-07 08:55:00,2023-04-07 08:54:00,Accident,702,Riverside,"BAY ST & MASSACHUSETTS AVE, Cambridge, MA",7
2016-02720,2016-04-23 13:42:00,2016-04-23 13:42:00,Warrant Arrest,1101,North Cambridge,"0 White St, Cambridge, MA",11
2023-06160,2023-07-11 12:09:00,2023-07-11 12:08:00,Simple Assault,103,East Cambridge,"0 MAIN ST, Cambridge, MA",1
2022-00065,2022-01-04 01:56:00,2022-01-04 01:56:00,Simple Assault,704,Riverside,"300 PUTNAM AVE, Cambridge, MA",7
2010-10098,2010-12-31 14:46:00,2010-12-31 14:46:00,Flim Flam,702,Riverside,"700 GREEN ST, Cambridge, MA",7
2014-07066,2014-09-20 17:25:00,2014-09-20 17:25:00,Suspicious Package,408,Area 4,"800 MAIN ST, Cambridge, MA",4
2017-04937,2017-07-18 18:11:00,2017-07-18 18:11:00,Trespassing,1109,North Cambridge,"400 RINDGE AVE, Cambridge, MA",11
2012-05967,2012-08-03 23:53:00,2012-08-03 23:53:00,Simple Assault,411,Area 4,"BISHOP ALLEN DR & NORFOLK ST, Cambridge, MA",4
2021-07325,2021-10-07 22:31:00,2021-10-07 22:30:00,Larceny from MV,602,Mid-Cambridge,"0 ELLERY ST, Cambridge, MA",6
2016-08068,2016-11-04 18:42:00,2016-11-04 18:41:00,Warrant Arrest,408,Area 4,"MAIN ST & MASSACHUSETTS AVE, Cambridge, MA",4
2022-10391,2022-12-30 22:52:00,2022-12-30 22:51:00,Admin Error,804,Agassiz,"1800 MASSACHUSETTS AVE, Cambridge, MA",8
2013-08507,2013-10-26 01:56:00,2013-10-26 01:55:00,Disorderly,501,Cambridgeport,"400 MASSACHUSETTS AVE, Cambridge, MA",5
2022-07123,2022-09-15 14:57:00,2022-09-12 11:00:00,Counterfeiting,411,Area 4,"600 MASSACHUSETTS AVE, Cambridge, MA",4
2017-04768,2017-07-12 17:58:00,2017-07-12 17:57:00,Warrant Arrest,1002,West Cambridge,"1400 MASSACHUSETTS AVE, Cambridge, MA",10
2020-08005,2020-11-13 13:02:00,2020-11-13 13:02:00,Larceny from Residence,804,Agassiz,"0 WENDELL ST, Cambridge, MA",8
2018-08101,2018-11-14 18:26:00,2018-11-14 18:25:00,Simple Assault,501,Cambridgeport,"MASSACHUSETTS AVE & PEARL ST, Cambridge, MA",5
2019-00347,2019-01-16 15:00:00,2019-01-16 14:59:00,Accident,1106,North Cambridge,"DUDLEY ST & MASSACHUSETTS AVE, Cambridge, MA",11
2017-08200,2017-11-18 11:31:00,2017-11-18 11:30:00,Larceny of Bicycle,304,Inman/Harrington,"0 LILAC CT, Cambridge, MA",3
2022-04680,2022-06-30 09:45:00,2022-06-30 09:44:00,Flim Flam,603,Mid-Cambridge,"300 HARVARD ST, Cambridge, MA",6
2020-01462,2020-02-28 17:34:00,2020-02-28 17:34:00,Accident,504,Cambridgeport,"GREEN ST & PEARL ST, Cambridge, MA",5
2022-09506,2022-11-30 17:40:00,2022-11-30 17:39:00,Hit and Run,404,Area 4,"200 BROADWAY, Cambridge, MA",4
2015-08506,2015-11-11 19:33:00,2015-11-11 19:33:00,Warrant Arrest,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2020-05040,2020-08-06 12:35:00,2020-08-06 12:35:00,Hit and Run,704,Riverside,"300 PUTNAM AVE, Cambridge, MA",7
2024-00771,2024-01-28 16:07:00,2024-01-28 16:06:00,Indecent Exposure,106,East Cambridge,"0 LAMBERT ST, Cambridge, MA",1
2011-07727,2011-10-03 13:01:00,2011-09-30 17:00:00,Hit and Run,9999,Cambridgeport,"300 PEARL ST, Cambridge, MA",99
2013-09739,2013-12-10 20:11:00,2013-12-10 20:11:00,Forgery,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2014-04088,2014-06-12 14:44:00,2014-06-12 14:44:00,Suspicious Package,305,Inman/Harrington,"100 HAMPSHIRE ST, Cambridge, MA",3
2012-04267,2012-06-09 14:12:00,2012-06-09 14:12:00,Hit and Run,702,Riverside,"BAY ST & FRANKLIN ST, Cambridge, MA",7
2011-01475,2011-03-01 21:54:00,2011-03-01 21:54:00,Threats,601,Mid-Cambridge,"0 TEMPLE ST, Cambridge, MA",6
2013-04969,2013-07-06 10:31:00,2013-07-06 10:30:00,Larceny of Bicycle,702,Riverside,"0 SIDNEY ST, Cambridge, MA",7
2018-07759,2018-10-31 20:01:00,2018-10-30 08:38:00,Hit and Run,305,Inman/Harrington,"CAMBRIDGE ST & TREMONT ST, Cambridge, MA",3
2023-00373,2023-01-15 21:06:00,2023-01-15 21:06:00,Warrant Arrest,403,Area 4,"HARVARD ST & PORTLAND ST, Cambridge, MA",4
2012-01843,2012-03-12 16:18:00,2012-03-12 16:17:00,Simple Assault,1109,North Cambridge,"300 RINDGE AVE, Cambridge, MA",11
2021-01968,2021-03-26 09:57:00,2021-03-26 09:57:00,Larceny from Residence,904,Peabody,"200 WALDEN ST, Cambridge, MA",9
2023-04759,2023-05-31 11:38:00,2023-05-31 11:37:00,Simple Assault,501,Cambridgeport,"GREEN ST & MAGAZINE ST, Cambridge, MA",5
2022-05648,2022-07-29 18:49:00,2022-07-29 18:49:00,Accident,411,Area 4,"DOUGLASS ST & MASSACHUSETTS AVE, Cambridge, MA",4
2018-02401,2018-04-17 19:23:00,2018-04-17 19:23:00,Forgery,503,Cambridgeport,"600 PUTNAM AVE, Cambridge, MA",5
2016-08998,2016-12-12 02:13:00,2016-12-12 02:13:00,Housebreak,302,Inman/Harrington,"400 NORFOLK ST, Cambridge, MA",3
2020-00322,2020-01-14 00:35:00,2020-01-14 00:34:00,Simple Assault,701,Riverside,"800 MASSACHUSETTS AVE, Cambridge, MA",7
2022-01540,2022-03-07 13:33:00,2022-03-03 14:25:00,Mal. Dest. Property,501,Cambridgeport,"300 GREEN ST, Cambridge, MA",5
2016-06071,2016-08-20 07:38:00,2016-08-20 07:37:00,Admin Error,1002,West Cambridge,"1400 MASSACHUSETTS AVE, Cambridge, MA",10
2011-03893,2011-05-29 17:31:00,2011-05-29 17:31:00,Hit and Run,805,Agassiz,"100 HAMMOND ST, Cambridge, MA",8
2013-02707,2013-04-18 18:50:00,2013-04-18 18:49:00,Shoplifting,1002,West Cambridge,"0 BRATTLE ST, Cambridge, MA",10
2020-08773,2020-12-07 10:38:00,2020-12-07 10:38:00,Forgery,1009,West Cambridge,"100 RESERVOIR ST, Cambridge, MA",10
2011-03852,2011-05-28 11:40:00,2011-05-21 00:00:00,Forgery,108,East Cambridge,"100 SIXTH ST, Cambridge, MA",1
2017-07975,2017-11-08 11:38:00,2017-11-08 11:37:00,Hit and Run,304,Inman/Harrington,"0 PLYMOUTH ST, Cambridge, MA",3
2023-02255,2023-03-19 12:25:00,2023-03-19 12:25:00,Shoplifting,501,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",5
2019-08204,2019-11-08 15:03:00,2019-11-08 15:02:00,Simple Assault,704,Riverside,"PUTNAM AVE & WESTERN AVE, Cambridge, MA",7
2013-01109,2013-02-15 17:59:00,2013-02-15 17:59:00,Accident,108,East Cambridge,"BINNEY ST & SECOND ST, Cambridge, MA",1
2011-07776,2011-10-04 21:31:00,2011-10-04 21:31:00,Hit and Run,502,Cambridgeport,"200 ALBANY ST, Cambridge, MA",5
2022-03025,2022-05-03 19:25:00,2022-05-03 19:24:00,Aggravated Assault,1110,North Cambridge,"0 CAMBRIDGEPARK DR, Cambridge, MA",11
2021-05458,2021-08-01 13:52:00,2021-08-01 13:51:00,Suspicious Package,102,East Cambridge,"0 ROGERS ST, Cambridge, MA",1
2011-01192,2011-02-18 11:45:00,2011-02-18 11:45:00,Warrant Arrest,702,Riverside,"0 SELLERS ST, Cambridge, MA",7
2011-07866,2011-10-07 13:39:00,2011-10-07 13:38:00,Shoplifting,501,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",5
2012-05587,2012-07-23 18:42:00,2012-07-23 18:42:00,Admin Error,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2014-00898,2014-02-08 12:42:00,2014-02-08 12:41:00,Simple Assault,501,Cambridgeport,"600 Massachusetts Ave, Cambridge, MA",5
2023-11808,2023-12-28 11:25:00,2023-12-28 11:24:00,Hit and Run,1013,West Cambridge,"500 CONCORD AVE, Cambridge, MA",10
2017-03886,2017-06-10 19:36:00,2017-06-10 19:36:00,Simple Assault,901,Peabody,"GARDEN ST & WATERHOUSE ST, Cambridge, MA",9
2020-05361,2020-08-18 14:14:00,2020-08-18 14:14:00,Accident,1017,West Cambridge,"300 Mount Auburn St, Cambridge, MA",10
2012-06743,2012-08-28 21:13:00,2012-08-28 21:13:00,Missing Person,1204,Highlands,"200 Alewife Brook Pky, Cambridge, MA",12
2018-01182,2018-02-24 18:32:00,2018-02-24 18:32:00,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2017-08543,2017-12-01 18:11:00,2017-12-01 18:10:00,Suspicious Package,501,Cambridgeport,"300 GREEN ST, Cambridge, MA",5
2020-08235,2020-11-19 17:00:00,2020-11-13 12:00:00,Forgery,108,East Cambridge,"100 SIXTH ST, Cambridge, MA",1
2012-03133,2012-04-30 17:31:00,2012-04-30 17:30:00,Trespassing,905,Peabody,"1900 MASSACHUSETTS AVE, Cambridge, MA",9
2021-02788,2021-04-28 02:23:00,2021-04-28 02:22:00,Warrant Arrest,702,Riverside,"100 WESTERN AVE, Cambridge, MA",7
2013-00078,2013-01-03 21:49:00,2013-01-03 21:49:00,Admin Error,108,East Cambridge,"100 SIXTH ST, Cambridge, MA",1
2013-09063,2013-11-15 15:51:00,2013-11-15 15:51:00,Shoplifting,1101,North Cambridge,"0 White St, Cambridge, MA",11
2014-07620,2014-10-08 18:12:00,2014-10-08 18:11:00,Suspicious Package,107,East Cambridge,"0 FIRST ST, Cambridge, MA",1
2020-07332,2020-10-24 11:28:00,2020-10-24 11:27:00,Forgery,910,Peabody,"0 WALDEN MEWS, Cambridge, MA",9
2018-02086,2018-04-05 00:21:00,2018-04-05 00:21:00,Simple Assault,305,Inman/Harrington,"200 HAMPSHIRE ST, Cambridge, MA",3
2018-08542,2018-12-03 12:32:00,2018-12-03 12:31:00,Trespassing,501,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",5
2021-04778,2021-07-07 17:28:00,2021-07-07 17:27:00,Forgery,611,Mid-Cambridge,"100 PRESCOTT ST, Cambridge, MA",6
2012-04281,2012-06-09 23:50:00,2012-06-09 23:50:00,Mal. Dest. Property,305,Inman/Harrington,"BRISTOL ST & WEBSTER AVE, Cambridge, MA",3
2011-05623,2011-07-22 13:53:00,2011-07-22 13:53:00,Admin Error,611,Mid-Cambridge,"CAMBRIDGE ST & QUINCY ST, Cambridge, MA",6
2022-05049,2022-07-11 16:13:00,2022-07-11 16:13:00,Hit and Run,1101,North Cambridge,"0 White St, Cambridge, MA",11
2010-08398,2010-10-26 21:34:00,2010-10-26 21:34:00,Annoying & Accosting,203,MIT,"MASSACHUSETTS AVE & VASSAR ST, Cambridge, MA",2
2015-08514,2015-11-12 08:30:00,2015-11-12 08:30:00,Warrant Arrest,608,Mid-Cambridge,"800 MASSACHUSETTS AVE, Cambridge, MA",6
2022-05404,2022-07-22 16:15:00,2022-07-22 16:15:00,Forgery,1303,Strawberry Hill,"700 HURON AVE, Cambridge, MA",13
2009-05727,2009-08-06 17:01:00,2009-08-06 12:00:00,Larceny from Person,1109,North Cambridge,"RINDGE AVE & Rindge Ave, Cambridge, MA",11
2010-01242,2010-02-22 15:59:00,2010-02-22 15:15:00,Aggravated Assault,509,Cambridgeport,"Magazine St & Granite St, Cambridge, MA",5
2022-07916,2022-10-12 10:13:00,2022-10-12 10:12:00,Accident,203,MIT,"100 VASSAR ST, Cambridge, MA",2
2013-09877,2013-12-16 21:19:00,2013-12-13 21:18:00,Hit and Run,1002,West Cambridge,"ELIOT ST & WINTHROP ST, Cambridge, MA",10
2020-03178,2020-05-25 14:39:00,2020-05-25 14:38:00,Aggravated Assault,304,Inman/Harrington,"CAMBRIDGE ST & WILLOW ST, Cambridge, MA",3
2023-08333,2023-09-13 08:32:00,2023-09-13 08:31:00,Accident,603,Mid-Cambridge,"0 DANA ST, Cambridge, MA",6
2024-04064,2024-05-17 11:36:00,2024-05-17 11:35:00,Mal. Dest. Property,1002,West Cambridge,"0 BENNETT ST, Cambridge, MA",10
2020-02152,2020-04-03 13:13:00,2020-04-03 13:13:00,Aggravated Assault,1101,North Cambridge,"0 WHITE ST, Cambridge, MA",11
2016-01995,2016-03-25 13:41:00,2016-03-25 13:40:00,Threats,1109,North Cambridge,"1000 JACKSON PL, Cambridge, MA",11
2012-02985,2012-04-25 09:59:00,2012-04-25 09:59:00,Forgery,604,Mid-Cambridge,"100 ANTRIM ST, Cambridge, MA",6
2022-01315,2022-02-26 23:17:00,2022-02-26 23:16:00,Simple Assault,411,Area 4,"500 Massachusetts Ave, Cambridge, MA",4
2014-00930,2014-02-10 12:58:00,2014-02-10 12:57:00,Hit and Run,508,Cambridgeport,"300 BROOKLINE ST, Cambridge, MA",5
2014-06029,2014-08-18 12:55:00,2014-08-09 17:05:00,Larceny from Building,406,Area 4,"200 PROSPECT ST, Cambridge, MA",4
2022-04404,2022-06-20 20:25:00,2022-06-20 20:25:00,Simple Assault,1109,North Cambridge,"400 RINDGE AVE, Cambridge, MA",11
2012-03579,2012-05-16 08:59:00,2012-05-16 08:59:00,Warrant Arrest,1303,Strawberry Hill,"0 May St, Cambridge, MA",13
2022-05802,2022-08-03 16:42:00,2022-08-03 16:42:00,Warrant Arrest,701,Riverside,"800 MASSACHUSETTS AVE, Cambridge, MA",7
2010-05349,2010-07-18 10:19:00,2010-07-18 10:19:00,Warrant Arrest,510,Cambridgeport,"MEMORIAL DR & RIVER ST, Cambridge, MA",5
2012-05505,2012-07-21 00:40:00,2012-07-21 00:39:00,OUI,1006,West Cambridge,"200 BRATTLE ST, Cambridge, MA",10
2019-03463,2019-05-23 22:00:00,2019-05-23 22:00:00,Admin Error,701,Riverside,"800 MASSACHUSETTS AVE, Cambridge, MA",7
2016-01801,2016-03-18 13:35:00,2016-03-18 13:34:00,Housebreak,609,Mid-Cambridge,,6
2018-02074,2018-04-04 16:37:00,2018-04-04 16:36:00,Flim Flam,101,East Cambridge,"0 LEIGHTON ST, Cambridge, MA",1
2013-08284,2013-10-18 17:46:00,2013-10-18 17:45:00,Disorderly,504,Cambridgeport,"GREEN ST & PEARL ST, Cambridge, MA",5
2017-04303,2017-06-27 08:46:00,2017-06-27 08:46:00,Drinking in Public,501,Cambridgeport,"MASSACHUSETTS AVE & WESTERN AVE, Cambridge, MA",5
2016-02632,2016-04-20 18:50:00,2016-04-20 18:50:00,Drugs,403,Area 4,"0 NEWTOWNE CT, Cambridge, MA",4
2023-08388,2023-09-14 17:00:00,2023-09-14 17:00:00,Larceny of Bicycle,411,Area 4,"600 MASSACHUSETTS AVE, Cambridge, MA",4
2021-05831,2021-08-14 16:59:00,2021-08-14 16:59:00,Hit and Run,1002,West Cambridge,"0 ELIOT ST, Cambridge, MA",10
2013-08193,2013-10-16 06:13:00,2013-10-16 06:13:00,Warrant Arrest,101,East Cambridge,"0 LEIGHTON ST, Cambridge, MA",1
2015-08090,2015-10-27 10:48:00,2015-10-20 23:44:00,Housebreak,1105,North Cambridge,"0 PORTER RD, Cambridge, MA",11
2019-01736,2019-03-16 13:33:00,2019-03-15 14:28:00,Flim Flam,305,Inman/Harrington,"1100 CAMBRIDGE ST, Cambridge, MA",3
2012-04119,2012-06-04 21:58:00,2012-06-04 21:57:00,Larceny from Building,1113,North Cambridge,"2000 Massachusetts Ave, Cambridge, MA",11
2012-02161,2012-03-24 11:11:00,2012-03-24 11:10:00,Warrant Arrest,501,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",5
2010-07869,2010-10-08 11:46:00,2010-09-10 00:00:00,Larceny from Person,1110,North Cambridge,"200 Concord Tpke, Cambridge, MA",11
2014-03352,2014-05-19 16:39:00,2014-05-19 16:39:00,Admin Error,601,Mid-Cambridge,"MASSACHUSETTS AVE & PROSPECT ST, Cambridge, MA",6
2023-05212,2023-06-13 10:59:00,2023-06-12 12:00:00,Simple Assault,706,Riverside,"100 PUTNAM AVE, Cambridge, MA",7
2015-06843,2015-09-09 21:29:00,2015-09-09 21:28:00,Warrant Arrest,1204,Highlands,"200 Alewife Brook Pky, Cambridge, MA",12
2014-01369,2014-03-01 01:47:00,2014-03-01 01:47:00,Admin Error,804,Agassiz,"1800 MASSACHUSETTS AVE, Cambridge, MA",8
2014-03706,2014-05-30 18:57:00,2014-05-30 18:56:00,Commercial Robbery,1204,Highlands,"200 Alewife Brook Pky, Cambridge, MA",12
2013-07829,2013-10-04 16:35:00,2013-10-04 16:35:00,Admin Error,601,Mid-Cambridge,"0 Temple St, Cambridge, MA",6
2014-09629,2014-12-18 08:46:00,2014-12-18 08:46:00,Hit and Run,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2013-08350,2013-10-21 07:39:00,2013-10-21 07:39:00,Accident,305,Inman/Harrington,"HAMPSHIRE ST & INMAN ST, Cambridge, MA",3
2014-04480,2014-06-26 09:51:00,2014-06-26 09:50:00,Harassment,1103,North Cambridge,"2500 MASSACHUSETTS AVE, Cambridge, MA",11
2017-05731,2017-08-15 15:49:00,2017-08-15 15:49:00,Harassment,1301,Strawberry Hill,"700 Mount Auburn St, Cambridge, MA",13
2023-03011,2023-04-13 13:06:00,2023-04-13 13:06:00,Suspicious Package,1002,West Cambridge,"1400 Massachusetts Ave, Cambridge, MA",10
2019-06659,2019-09-12 16:45:00,2019-09-12 16:45:00,Admin Error,507,Cambridgeport,"FRANKLIN ST & MAGAZINE ST, Cambridge, MA",5
2011-08339,2011-10-23 00:55:00,2011-10-23 00:55:00,Admin Error,403,Area 4,"MAIN ST & PORTLAND ST, Cambridge, MA",4
2014-08178,2014-10-27 19:09:00,2014-10-27 19:08:00,Shoplifting,1002,West Cambridge,"0 BRATTLE ST, Cambridge, MA",10
2022-08544,2022-10-30 11:05:00,2022-10-30 11:05:00,Hit and Run,703,Riverside,"PLEASANT ST & WESTERN AVE, Cambridge, MA",7
2019-05225,2019-07-25 11:47:00,2019-07-25 11:46:00,Drinking in Public,501,Cambridgeport,"GREEN ST & MAGAZINE ST, Cambridge, MA",5
2023-04161,2023-05-14 01:00:00,2023-05-14 01:00:00,Mal. Dest. Property,1111,North Cambridge,,11
2023-04381,2023-05-20 12:54:00,2023-05-20 12:53:00,Admin Error,612,Mid-Cambridge,"100 DANA ST, Cambridge, MA",6
2012-09593,2012-12-07 14:27:00,2012-12-07 14:26:00,Admin Error,701,Riverside,"0 CENTRAL SQ, Cambridge, MA",7
2016-08850,2016-12-06 17:50:00,2016-12-06 17:49:00,Warrant Arrest,407,Area 4,"700 Main St, Cambridge, MA",4
2014-03956,2014-06-07 21:32:00,2014-06-07 21:31:00,Accident,409,Area 4,"BROADWAY & COLUMBIA ST, Cambridge, MA",4
2015-03187,2015-05-07 19:07:00,2015-05-07 08:43:00,Violation of H.O.,203,MIT,"200 VASSAR ST, Cambridge, MA",2
2010-05351,2010-07-18 12:03:00,2010-07-04 23:00:00,Forgery,204,MIT,"500 MEMORIAL DR, Cambridge, MA",2
2011-02699,2011-04-18 14:08:00,2011-04-18 14:07:00,Auto Theft,703,Riverside,"0 River St, Cambridge, MA",7
2011-02901,2011-04-26 09:56:00,2011-04-26 09:55:00,Mal. Dest. Property,405,Area 4,"200 WINDSOR ST, Cambridge, MA",4
2020-05081,2020-08-07 15:35:00,2020-08-07 15:35:00,Admin Error,610,Mid-Cambridge,"HAMPSHIRE ST & PROSPECT ST, Cambridge, MA",6
2019-05351,2019-07-29 18:37:00,2019-07-29 18:36:00,Larceny of Bicycle,701,Riverside,"800 Massachusetts Ave, Cambridge, MA",7
2012-01865,2012-03-13 01:36:00,2012-03-13 01:36:00,Mal. Dest. Property,1002,West Cambridge,"0 BENNETT ST, Cambridge, MA",10
2013-08453,2013-10-24 12:57:00,2013-10-24 12:57:00,Drugs,504,Cambridgeport,"LANDSDOWNE ST & MASSACHUSETTS AVE, Cambridge, MA",5
2011-07424,2011-09-23 17:21:00,2011-09-23 17:20:00,Aggravated Assault,305,Inman/Harrington,"100 WEBSTER AVE, Cambridge, MA",3
2019-04035,2019-06-13 07:43:00,2019-06-13 07:43:00,Simple Assault,901,Peabody,"GARDEN ST & MASSACHUSETTS AVE, Cambridge, MA",9
2011-02862,2011-04-25 09:12:00,2011-04-25 09:12:00,Larceny from Building,409,Area 4,"100 Prospect St, Cambridge, MA",4
2011-06527,2011-08-24 10:23:00,2011-08-24 10:22:00,Forgery,105,East Cambridge,"100 SPRING ST, Cambridge, MA",1
2011-03261,2011-05-07 22:18:00,2011-05-07 22:18:00,Admin Error,906,Peabody,"300 WALDEN ST, Cambridge, MA",9
2020-04266,2020-07-06 21:13:00,2020-07-06 21:12:00,Admin Error,804,Agassiz,"1800 MASSACHUSETTS AVE, Cambridge, MA",8
2015-05078,2015-07-12 09:57:00,2015-07-12 09:57:00,Admin Error,402,Area 4,"300 WINDSOR ST, Cambridge, MA",4
2015-07092,2015-09-18 14:51:00,2015-09-18 14:50:00,Simple Assault,603,Mid-Cambridge,"400 BROADWAY, Cambridge, MA",6
2013-01983,2013-03-23 13:00:00,2013-03-23 12:59:00,Forgery,707,Riverside,"0 ATHENS ST, Cambridge, MA",7
2023-04571,2023-05-25 15:54:00,2023-05-25 15:53:00,Forgery,501,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",5
2017-04878,2017-07-16 16:27:00,2017-07-16 16:27:00,Trespassing,1002,West Cambridge,"0 CHURCH ST, Cambridge, MA",10
2015-01063,2015-02-14 18:45:00,2015-02-14 18:45:00,Suspicious Package,205,MIT,"600 MEMORIAL DR, Cambridge, MA",2
2012-05094,2012-07-08 14:20:00,2012-07-08 14:20:00,Shoplifting,102,East Cambridge,"100 Cambridgeside Pl, Cambridge, MA",1
2014-08106,2014-10-24 19:24:00,2014-10-24 19:23:00,Accident,1201,Highlands,"200 Alewife Brook Pky, Cambridge, MA",12
2024-03320,2024-04-24 12:12:00,2024-04-21 12:11:00,Forgery,411,Area 4,"400 MASSACHUSETTS AVE, Cambridge, MA",4
2014-01430,2014-03-03 16:31:00,2014-03-03 16:30:00,Drinking in Public,504,Cambridgeport,"River St & Green St, Cambridge, MA",5
2015-07147,2015-09-21 07:29:00,2015-09-21 07:28:00,Accident,901,Peabody,"MASSACHUSETTS AVE & WATERHOUSE ST, Cambridge, MA",9
2021-08076,2021-11-03 16:46:00,2021-11-03 16:46:00,Warrant Arrest,705,Riverside,"GREEN ST & PLEASANT ST, Cambridge, MA",7
2012-07761,2012-10-02 05:02:00,2012-10-02 05:02:00,Street Robbery,905,Peabody,"100 WALDEN ST, Cambridge, MA",9
2021-08569,2021-11-20 21:53:00,2021-11-20 21:53:00,Simple Assault,601,Mid-Cambridge,,6
2014-06319,2014-08-27 09:05:00,2014-08-27 09:04:00,Accident,804,Agassiz,"0 FOREST ST, Cambridge, MA",8
2012-04461,2012-06-16 17:21:00,2012-06-16 17:21:00,Shoplifting,1002,West Cambridge,"0 JFK ST, Cambridge, MA",10
2014-07972,2014-10-20 20:20:00,2014-10-20 20:20:00,Drugs,501,Cambridgeport,,5
2023-02876,2023-04-08 22:44:00,2023-04-08 22:43:00,Simple Assault,708,Riverside,"0 JFK ST, Cambridge, MA",7
2023-04799,2023-06-01 14:57:00,2023-06-01 14:56:00,Warrant Arrest,701,Riverside,"0 CENTRAL SQ, Cambridge, MA",7
2024-01686,2024-02-29 00:50:00,2024-02-29 00:50:00,Housebreak,604,Mid-Cambridge,"100 FAYETTE ST, Cambridge, MA",6
2009-06910,2009-09-15 19:45:00,2009-09-15 19:45:00,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2015-02320,2015-04-04 22:13:00,2015-04-04 22:12:00,Simple Assault,305,Inman/Harrington,"200 ELM ST, Cambridge, MA",3
2020-01417,2020-02-26 15:53:00,2020-02-26 15:53:00,Trespassing,510,Cambridgeport,"100 FAIRMONT ST, Cambridge, MA",5
2021-04357,2021-06-21 23:51:00,2021-06-21 23:50:00,Aggravated Assault,411,Area 4,"Columbia St & Bishop Allen Dr, Cambridge, MA",4
2012-03320,2012-05-07 13:15:00,2012-05-07 13:14:00,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2009-03650,2009-05-21 18:14:00,2009-05-21 18:14:00,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
